id,PyEGo,DockerizeMe,pipreqs,PyEGo-s2,PyEGo-s3
7234995,×,√,×,×,×
c943835a9742f5021eeb,×,×,×,×,×
4961824,√,√,×,√,√
2869341f38f5b1eeb86d,√,√,×,√,√
ede5b6b793f02bd966a6a7502c0a7fbf,√,√,×,√,√
7c2ec1cd01ada79b45fc9a6323934181,×,√,×,√,×
2020955,×,×,×,×,×
4b79e30fad4ae8a50e2630fcfc4c8cfd,√,√,√,√,√
6103019,×,×,×,×,×
137667,×,×,×,×,×
1b49c03968b2c83897a4a15c78980b18,√,×,×,√,√
fc1527d6d9492b59c610,√,×,×,×,√
cdf79835a0e30a9cbdeaaf2eb4151077,×,×,×,×,√
56180516c91e8b934168ea29c52ee242,√,√,×,√,√
3778347,√,×,×,√,√
c2cf8d8aee3eb70668bd,√,√,×,√,√
8f07d0bfadffd40fcf40cd49cb77382d,×,×,×,×,×
8249328,√,×,×,√,√
5684769,√,√,×,√,√
4345418,√,×,×,√,√
2993700,×,×,×,×,×
7275456,×,×,×,×,×
4034427,×,×,×,×,×
37463b35ef8606629d2e,√,×,×,√,√
4132799,×,√,×,×,×
87e9a3e0539ce268222d1d597864c098,×,×,×,×,×
7495576,×,×,×,×,×
139f710ca91ed5fabaf9e6616d2c762b,√,×,×,√,√
6557760,√,×,×,√,√
31ccafbfceac2ed88974,×,×,×,×,×
1355170,×,×,×,×,×
2e466ff4e6b3425aba3c,×,×,×,×,×
bce98c5c1688fc833475,×,×,×,×,×
9655195,×,×,×,×,×
034e799c19eb763fa859,√,√,×,√,√
4c223b8e2d72b0e35bde,×,×,×,×,×
1561144,√,√,×,√,√
723a39071659bb763cff,×,×,×,×,×
2942127,×,×,×,×,×
8fdb62f7094e6a9829f2,√,×,×,√,√
4461862,√,√,×,√,√
1142740,√,×,×,√,√
45c1c820a8fa67d8e17e3079d6aa2a65,√,×,×,√,√
3057138,×,×,×,×,×
1808234,×,×,×,×,×
5177683,√,√,×,√,√
5702d57eb4cb6ef6e7e8,×,√,×,×,×
5022297,×,√,×,×,×
1918389,×,×,×,×,×
5051911,√,×,×,√,√
8ce64008710128f3a076,√,×,√,×,√
95c66d564c58361ecf9f,√,√,√,√,√
9bde6d0985bd71b103d3,×,×,×,×,×
5562029,√,×,×,√,√
2245426,×,×,×,×,×
3037448,×,×,×,×,×
783810,×,×,×,×,×
9040475,√,×,×,√,√
3946121,×,√,√,×,×
2971450,√,√,×,√,√
3886519,√,√,√,√,√
9f1793c4d1f466d3b58966da36b54fad,√,√,×,√,√
1551619,×,×,×,×,×
8069261,√,×,×,√,√
2986210,√,×,×,√,√
7e173302952b210aeaf3,√,√,×,√,√
3829194,×,×,×,×,×
2b2abbb88b5d2b4f4e5adde42975fd0f,√,×,×,×,√
3d2454905d8f01886d651f207e2419f0,√,√,×,√,√
f1a6bd3c8585c400c190,×,×,×,×,×
4413028,×,×,×,×,×
3725741,×,×,×,×,×
8086892,×,×,×,×,×
3829302,√,×,×,×,√
be7e84c9d61c4869e981,√,×,×,×,√
910726,×,×,×,×,×
8b100c205b8c35b3c8ce,√,×,√,√,√
6718314,×,×,×,×,×
6094977,√,√,√,√,√
835062,×,×,×,×,×
42472327b4be382b02eb,√,×,×,√,√
446bcbe699d4fb54972f,×,×,×,×,×
9258971,√,√,×,√,√
b5e7a80691ed5e44e7fea1964bae18dc,×,×,×,×,×
5478642,√,√,×,√,√
1189327,×,×,×,×,×
9951701907ed328218dd,×,×,×,×,×
d5da6f4b29a844a5865a,√,×,×,√,√
844aab52fcff6b1c652a,×,×,×,×,×
4121343,×,√,×,×,×
7719991351343a92aa7b654d2b36c8db,×,√,×,×,×
6695625,×,×,×,×,×
1997771,√,×,×,√,√
6414599,×,√,√,×,×
7fd265e5419efe71477ca560801d0130,×,×,×,×,×
1871929,√,√,×,√,√
5603909,×,×,×,×,×
1267632,√,√,×,√,√
2773137,×,×,×,×,×
4d859423b9dae1cf7471,√,×,√,√,√
f5b0d13b0bb3e4ac0572,×,×,×,×,×
4176623,√,√,×,√,√
0d5b3e7cc89cb2180c6e,√,√,×,√,√
1876859,×,×,×,×,×
6562886,×,×,×,×,×
1639941,×,×,×,×,×
8074321,×,×,×,×,×
2b83b1c47a18448d3cbf,×,×,×,×,×
a5808fe356b8da031837,√,√,×,×,√
1da13f548200d9fb2b06,×,×,×,×,×
8020379,√,×,×,√,√
8067e173121625e79498,×,×,×,×,×
1077970,×,×,×,×,×
9220847,×,×,×,×,×
a4cfdc19144e7bd634a8,√,√,√,√,√
98a38b54f889fce2b237,×,√,×,×,×
ef4fc7fb905be7191cc2beb1421da37c,×,×,×,×,×
889692,√,√,×,√,√
1825401,×,×,×,×,×
3676137,√,√,×,√,√
c4b999517b713adb6480a349bb6d7658,×,√,×,×,×
710480,×,×,×,×,×
1350641,×,×,×,×,×
964472,×,×,×,×,×
4189391,×,×,×,×,×
1042778,√,√,×,√,√
1219955,×,×,×,×,×
1707483,√,√,×,√,√
8617378,√,√,×,√,√
3013470,√,×,×,√,√
2032428,×,×,×,×,×
6327611,×,×,×,×,×
fc3589eeabaee9ac5c05,×,×,×,×,×
284507,×,×,×,×,×
0b92b9ca837a0f5474c732876220db78,√,√,√,√,√
053db410f7fdd4e1d6034a0a7fd45d9b,√,×,√,√,√
ff122e8563793bb28f79,×,×,×,×,×
5297676,×,√,√,×,×
8a8095721ee81d49f16c,√,√,×,√,√
8420193,×,×,×,×,×
7285154,√,×,×,√,√
ec8ddab12364323c97d4e36459174f0d,×,×,×,×,×
204a609ee295c81c3cc202ecbe68752c,√,×,×,√,√
1947166,√,×,×,√,√
abca49bf36433fd1f9d1,×,√,√,×,×
8982669,√,×,×,√,√
1288160dad16cc473a53,√,×,×,√,√
5310037,×,×,×,×,×
4c528bb794449160e9f9a303b7b2dc23,×,×,√,×,×
5574345,√,√,×,√,√
6258303,√,√,×,√,√
4ca0c68878c6d978d067da4a36bcc71d,√,√,×,√,√
12da69b95d010c8a810fd384cca8d02a,√,×,×,√,√
5ce8bb1f4c55d17b5b25,√,√,×,√,√
2787060,×,×,×,×,×
e76e7c2a2aff228d7807,×,×,×,×,×
4c59bb823a2c4cc886ae51deae9b23d5,√,√,×,×,√
1140516,√,√,×,√,√
2838603,√,×,×,√,√
8460004,×,×,×,×,×
778260a1f0553575be99,×,×,×,×,×
f390aabf53cf1406fc71166a47236ebf,√,×,√,√,√
5329310,√,√,×,√,√
6374514,×,×,×,×,×
3390999,×,×,×,×,×
85ab1cfc3f733165e4b9,×,√,×,×,×
706573,×,×,×,√,×
4497119,√,√,√,√,√
1572547,×,×,×,×,×
3542836,×,×,×,×,×
3a96a407e16dae155744,×,×,×,×,×
9a632bbb0acb445f4f3a,×,×,×,×,×
8096192,×,×,×,×,×
5355925,√,√,×,√,√
1c3176fe9e38dcaadd1e56c2f15c95d9,×,×,×,×,×
5782780,×,√,×,×,×
c8a451502958fa367d84bf038081ee4b,√,√,×,×,√
3803003,×,×,×,×,×
1486762,×,×,×,×,×
df47cd6aea9eeac153ff,√,×,√,√,√
6206626,×,×,×,×,×
b1ef03dd21e7a3016161,√,×,×,√,√
d1af2b73d38fbceee5c848fc9cf641ce,×,×,×,×,×
1207636,√,√,×,√,√
1650418,×,×,×,×,×
1f140573b37939e78eb5,×,√,×,×,×
ef407a599f0f549f62d91c3a00dcfb6c,√,√,×,×,√
3141140,×,×,×,×,×
1911238,×,×,×,×,×
744700,×,×,×,×,×
984892,√,√,×,√,√
2ff89e40721d1f1a007449f02aee3990,×,×,×,×,×
5807648,√,√,√,√,√
3081369,√,×,×,√,√
5167728,×,×,×,×,×
67bdd4bd8c26e2178579,√,×,×,√,√
b02bac4b48f780bee77b,×,√,×,×,×
3042651,√,√,×,√,√
1950267,×,×,×,×,×
076bbc6a0d5056d20ad45095b434b02d,√,√,√,√,√
5907109,×,×,×,×,×
813813,×,×,×,×,×
3693550,√,√,×,√,√
fda9fd2a7a1e0bc458650ec4c3a0bf93,√,√,√,√,√
944439a04546f4c02cb9,×,×,×,×,×
00135b0dfee0ae165ad2,×,×,×,×,×
4091897,×,×,×,×,×
5263533,√,×,√,√,√
1068868,×,×,×,×,×
fe0d232bda81f15e838b,×,×,×,×,×
709890,√,√,×,√,×
ec0dbce5688e6fcd2cb91ac1fb7d03ca,×,×,×,×,×
2951556,√,×,√,√,√
6714b632c92d8967fd3c,×,×,×,×,×
da582d745fa2bf0ddd8f5f7480042291,×,×,×,×,×
ea8b0a48983b9f7a8d01cbc0651e43d1,√,√,√,√,√
2229985,×,×,×,×,×
4289538,×,×,×,×,×
96a329f6d12f17b4760373b1cf3b92e9,√,×,×,√,√
ad7eda38c797dfddc394,×,×,×,×,×
2760477,√,×,×,×,√
99f7f921b512496a9563691e15d846b2,×,×,×,×,×
4efe2e28ffcba38aa242,√,√,×,×,√
5763651,×,×,×,×,×
4630017,×,√,×,×,×
a54e7e182ddf564f6a5c1fe50db556a2,√,√,×,√,√
5710254,√,√,×,√,√
5cf3163e0d77275870bf,×,×,×,×,×
4178945,×,×,×,×,×
5002929,√,√,×,√,√
1269949,√,√,×,√,√
1722663,×,×,×,×,×
5849790,√,√,×,×,√
2da57d5b039aab4da7ce,×,√,×,×,×
793f7ddfc2393ffd0418,×,×,×,×,×
aa46105d34349543582b177ae79f32f0,√,√,×,√,√
026a4d6400b1efac9a13a3296f16e655,×,×,×,×,×
01b8b8e1909ae0f601c85e142f2bd15b,×,×,×,×,×
503106,×,×,×,×,×
fb9d710bd20579771b40,×,×,×,×,×
6771295,√,×,×,×,√
1435045,√,×,√,×,√
3699696,×,×,×,×,×
76877c8f262de24becc081ad96759730,√,×,√,√,√
bbfa863f3fe4bb2163d94394d7b60899,×,×,×,×,×
1357185,×,×,×,×,×
f18b7b54830270b01b99ba5e78024a39,×,×,×,×,×
735556,√,×,√,×,√
8e7ab6fe8ad6d903aa0c,√,×,×,√,√
7eb39b44eb9e16e59632d25fb3119975,×,×,×,×,×
1676440,√,×,×,√,√
629508,√,√,×,√,√
1217855,×,×,×,×,×
8543933,√,×,×,√,√
672229,×,×,×,×,×
7b64238424175742a8a1,√,√,√,√,√
9842903,√,√,×,√,√
5a534f9deb80775f0f497a4133a79d7b,√,√,×,√,×
5553364,×,×,×,×,×
2337dd6cf56f2845bfa901a6b9c430ae,×,×,×,×,×
1424374,×,×,×,×,×
4494118,×,×,×,×,×
1679110,√,√,×,√,√
5881137,√,×,×,√,×
2433411,√,√,×,√,√
8916745,×,×,×,×,×
aa3d19a12b74e9ab7941,×,×,×,×,×
3271073,×,×,×,×,×
5409581,×,×,×,×,×
b71ed0e977e6d345bcb8,×,×,×,×,×
10792332,√,×,×,√,√
3719535,×,×,×,×,×
2408388,×,×,×,×,×
614fea74e9c67df0aae0,×,×,×,×,×
eeb156dc7b4caca69f5b31037da54708,×,×,×,×,×
835cda68ddd9c5416defce876a4d7dd9,√,×,×,√,√
9ea0e4feb62a45acffee,√,√,×,√,√
1134410,×,×,×,×,×
7956216,×,×,×,×,×
8851078,√,×,×,√,×
a56421d26afb1f728a2b5959ce1c4486,×,×,×,×,×
367ff95d4d3d3770fa7b,√,√,×,√,√
5c973ec1b5ab2e387646,×,×,×,×,×
756b1d8df2d1487497d29b90e81f8068,√,×,√,√,√
5476453,√,×,×,√,√
4083574,√,√,×,√,√
407d78fbe0f234ea34c6,√,×,×,√,√
8907544,√,√,√,√,√
4654813,√,√,√,√,√
1951709,√,×,×,√,√
1436671,×,×,×,×,×
6893b83409ae4575e2bd,√,×,√,√,√
0cfe89a89b892e47e8418e281dfe318d,×,×,×,×,×
57417446d9c2e986692b3c60069ebc45,×,√,×,×,×
e972345a37686b9b1362,√,×,×,√,√
296207,×,×,×,×,×
9875468,×,×,√,×,×
5969656,×,×,×,×,×
5328738,×,×,×,×,×
559e56401dee3eccfa23,√,√,×,√,√
535acf4c62ee2a71da498281c2dfc4f4,√,√,×,×,×
3153844,×,×,×,×,×
1402892,√,√,×,√,√
4eb4497f57e9f6fb78d14aef27fcc750,×,×,×,×,×
1269098,×,×,×,×,×
5875326,×,×,×,√,×
8662660,×,×,×,×,×
de1726bfc7330b2c9b2a,√,√,×,√,×
1805981,×,×,×,×,×
6d7c78ea329d4e9e1217,√,×,×,√,√
6d6bb834d48b9664b38d,√,×,×,×,√
2511464,×,×,×,×,×
2416148,×,×,×,×,√
8803860,√,√,×,√,√
893b63390160e33ddb3c,√,√,×,√,√
4995164,×,×,×,×,×
4bbe165b19a2b0d457c6,×,×,×,√,×
3893296,×,×,×,×,×
66ed98cf3fc2b161df47c0c08954dc62,×,×,×,×,×
7923781,×,×,×,×,×
efbe081b2bde5662cc1e76db0e12289e,√,×,×,√,√
33cc5534cb555a0b710b,√,√,√,√,√
7466823,×,×,×,×,×
937534,×,×,×,×,×
5807738,×,×,×,×,×
795cc1fd6d0c9069b20204cbd133e36b,√,√,×,√,×
8e4b396a1c8a1f3f80d0,√,×,×,√,√
bd57b54a5c6903e4a6a2,√,×,×,√,×
2eec49ca1e4f58c5310d72918d991ef6,√,√,×,√,√
a8f87b0d95e73eb482c5,√,√,×,√,√
054023c4fca5369ffdb2,×,×,×,×,×
6404683,×,√,×,×,×
94d747fe5180851196eb,√,√,√,√,√
9649532644540b5b798308f66699ef67,×,×,×,×,×
4700064,×,×,×,×,×
8412843,√,√,√,√,√
5560796,√,√,√,√,√
92e65a8919b11d9310b32b194b09741c,√,√,×,√,×
04c2b5ce5978c0d66e6e,×,×,×,×,×
1f8dfb1b5c82627ae3efcfbbadb9f514,√,√,×,×,×
1919511,×,×,×,×,×
771dabe22b34d59728bddcf87b26cf54,√,×,×,√,√
738fa2eedd9666b78404ed1751336f56,×,×,×,×,×
6c78e65f4b78adfa3766,√,×,×,√,√
bcd8b4002b6cbf77dd89,√,×,×,√,√
3931936,×,×,×,×,×
7680498,×,×,×,×,√
246474141cbe588eb9fb,√,×,×,√,√
7103585,√,√,×,√,√
174056,√,×,×,×,√
4981937,√,×,×,√,√
dc176cdb29efd826e8c748e7f96933f0,√,×,×,√,√
101323115e70bb6671d3,×,×,×,×,×
6194556,√,×,×,√,√
8403108,×,×,×,×,×
1c9b352ba19b5e33f9c4,√,×,×,√,√
0bc7d313e7a84b708374,√,×,×,√,√
dc61c42aa4e89e139cd8248f59af6b3e,√,×,×,√,√
228998,√,×,√,×,√
aecb82d8b51e991dbd01,×,×,×,×,×
885932,×,×,×,×,×
5519057,√,×,×,√,√
3b9d893f1e0788f8fad0e6b49cde70f1,√,√,×,√,√
4730736,√,√,√,√,√
1052286,×,×,×,×,×
4340606,√,√,√,√,√
a8332d2b6dc517accedbff8fd8e63b08,√,×,√,√,√
ce5ebb37390ab0ae56c9e6e80128fdc2,√,×,×,√,√
3750225,√,×,×,√,√
1558831,×,×,×,×,×
6622819,×,×,×,×,×
8588668,√,×,√,√,√
4a3f8b0fee43d45646cf118bda4d202a,√,√,×,√,√
bdb31b04fb1e69fa5346,×,×,×,×,×
6509307,√,√,×,√,√
8691435,×,×,×,×,×
3a2a081e4f3089920fd8aecefecbe280,×,×,×,×,×
1009475,×,×,×,×,×
5823716a1da5f0273504,×,×,×,×,×
1196291,×,×,×,×,×
5761c3be67a0c7d78ec8,√,×,×,√,×
e1b58ad5ff33c697ae83d83fdbab76e4,√,√,×,√,√
3308963,×,×,×,×,×
781411170d36adb3197cba86b8653136,×,×,×,×,×
5587680,√,×,×,√,√
9747287,×,×,×,×,×
434e185ce543ca1c8a99,×,×,×,×,×
10235798,√,√,×,√,√
a0d42148fa11cbdaa00168e321f598f5,√,×,√,√,√
4882342eba2b57376ed1,×,×,×,×,×
5598271,×,×,×,×,×
8447221,√,×,×,√,√
19284bd220165758a0c953ae25108b6b,×,×,×,×,×
946582,×,×,×,×,×
3488502,×,×,×,×,×
4667205,√,×,×,√,√
1248728,×,×,×,×,×
31eee50b9aaebf387b380f70054575c5,√,√,×,√,√
98b59370a1d171817edb,×,√,√,×,×
821473a1596f1429024cb1eadb471927,√,×,×,√,√
baf42b089d71b94fd229,×,×,×,×,√
626356,×,×,×,×,×
3c2e5bf1e77986dfd51f,×,×,×,×,×
9343730,×,×,×,×,×
6aa898d22e74aa9dafc3,√,×,×,√,√
3750993,×,×,×,×,×
f1eca6cb0061cde701c2,×,×,×,×,×
261818,×,×,×,×,×
cc0ac48d34860c5bb3f9112f4d9a0300,√,×,×,√,√
5145500,×,×,×,×,×
1035190,√,×,×,√,√
2604241,×,×,×,×,×
1c48360bde201b3d54ab,×,×,×,×,×
1410088,×,×,×,×,×
db972e738cfacdf8055f,×,×,×,×,×
3012089,×,×,×,×,×
4219140,×,×,×,×,×
a5407ce6b5061525e7f2,×,×,×,×,×
c591cab03c66780b18d5,×,×,×,×,×
3f9c80ff42879cad41bf,√,√,×,√,√
a05a9ed37a3096cffef80bdc7fee31bc,×,×,×,×,×
fa5755c7f7fa49b47961,√,√,×,×,×
5911624,×,×,×,×,×
5859643,√,×,×,√,√
4ee0a712454480df5ee3,×,×,×,×,×
076424abd8b012371b516da32807ca14,×,×,×,×,×
3309494,×,√,×,×,×
5720029,×,×,×,×,×
b46119196c75d6ef20ff,×,×,×,×,×
09648344984565f9477a,×,×,×,×,×
2d4a4a8be57a9b8e94c7a4903d8d8bf8,×,√,×,×,×
0ee6dd444994fd67f63b,√,×,×,√,√
3e1cfdb76005c901b7d3f8b1e6ba1557,×,×,×,×,×
e542b181be28d168ba177c9b8e3787b6,√,√,×,√,×
1b42a20c8f3eb9bb7cb8,×,×,×,×,×
2038329,×,×,×,×,×
a14e56ab945cd7e64c3b,√,√,×,√,√
5378938,√,√,×,√,√
1140136,√,√,×,√,√
28802627584b21ba1f6a,×,×,×,×,√
764262,×,×,×,×,×
d6aa922505c4e5f21f2f,×,×,×,×,×
8414494,×,×,×,×,×
0ca2272c015266e667924836364349c3,√,√,×,√,√
db051ab5105c5af5401aa5ef8739ada9,×,×,×,×,×
65538,√,×,√,×,√
7f79c85c8883268660bd,×,×,×,×,×
998722,√,√,×,√,√
41f782ce86346d46800d,√,×,×,√,√
4217925,×,×,×,×,×
efabc30c4b2c9afd8a83,√,√,×,√,√
7698491,×,×,×,×,×
4088322,×,×,×,×,×
35164461db4da79f7d56,×,×,×,×,×
d14e424540faedb3ea88,×,×,×,×,×
3760670,×,×,×,×,×
90a6d0f6789e15c38e97,×,×,×,×,×
7551089,×,×,×,×,×
035dc3b722b7f89cce66520dde285c9a,×,×,×,×,×
cd72af254e50e01ae763,×,×,×,×,×
827988,√,√,×,√,√
1516095,×,×,×,×,×
443622de54589e31c1d98c6ea8eff84b,×,×,×,×,×
8bbcc202a915e965c6a6d4f561d0e482,×,×,×,×,×
867589,×,×,×,×,×
1820074,√,×,×,√,√
0c10e910e514832b7103,×,×,×,×,×
5a4c39e4c02502a8451d,√,×,×,√,√
2840020,×,×,×,×,×
5065738,√,×,×,√,√
cb2b90523c592abe7ae4,×,×,×,×,×
5787626,×,×,×,×,×
4732233,√,√,×,√,√
5287589,√,×,×,√,√
4115763,×,×,×,×,×
dc3257b6a44da3d8fd05,×,×,×,×,×
7002279,×,×,×,×,×
4133c66ccf65c0ba1f5f5a5bc4fb7298,√,×,×,√,×
9358479,×,×,×,×,×
0acf77b2c022e2467cfb0d5493d454d6,√,√,×,√,√
ee8edb61a4aba40ce2fc653e12cd5e69,√,√,×,√,√
ea46edc315b0f94d03b9,√,√,×,√,×
8917867,×,×,×,×,×
586056,√,√,×,√,√
b0c075cfde406280cbf7,×,×,×,×,×
10a742de43246210f3ba,√,√,√,√,√
4599814,√,√,×,√,√
4d7afed1dadb457bba977bd3757c1e29,√,×,×,√,√
4076735,×,×,×,×,×
52bba57f724e38229da9d85fbc85b673,√,√,×,√,√
ffd436e0a7897c9e872d,×,×,√,×,×
5803651,√,√,×,√,√
1025525,×,×,×,×,×
723736,×,×,×,×,×
10554232,×,×,×,×,×
4640256,×,×,×,×,×
7946961,√,√,√,√,√
9fbbf2f450779bde60c3,√,√,×,√,√
6691093,×,×,×,×,×
9674216,×,×,×,×,×
654157,×,×,×,×,×
3197a2bae38f77799ea8,×,×,×,×,×
1928063,√,√,×,√,√
9d39e1868e220e02cb58,×,×,×,×,×
0ba0270279a0f38280423754cea2ee1e,×,×,×,×,×
900514,×,×,×,×,×
8807124,√,√,×,√,√
5b17c9f37f351780744aefc74f93d3ae,×,×,×,×,×
9e990f56dabe27b42bfb,×,×,×,×,×
380c24afec20963617c82c43590b78f2,×,×,×,×,×
9497761,×,×,×,×,×
7b4a8e2f1fbfd70b4aaea5d205cb35eb,×,×,×,×,×
6027183,√,√,×,√,√
411123,√,×,×,√,√
5748e199a3bec164a867c9b654e5ffe5,×,×,×,×,×
6179550,√,×,√,√,√
5463830,√,×,×,√,√
4718429,×,×,×,×,×
4243633,√,√,√,√,√
1545255,×,√,×,×,×
5527142,×,×,×,×,×
5472885,×,×,×,×,×
bd0940f7988774e2822d,√,√,√,√,√
1fa4f3360ffdb1e69507,×,×,×,×,×
9270848,×,×,×,×,×
5e96a65ee11698a26403,×,×,×,×,×
0f450e738bf79c003253,×,×,×,×,×
3948701,√,×,×,√,√
1714d2952c09b96ba2d8777f1cbf9de1,√,√,×,√,√
4093998b625d76ef4afe,×,√,×,×,×
2968620,×,×,×,×,×
7543724,√,√,×,√,√
3735779,×,×,×,×,×
b5952c36b36b877adcb0495163678675,√,×,×,√,√
d6428881f451097f329e,√,√,√,√,√
4232775,×,×,×,×,×
5900563,√,×,√,√,√
90fe4a3bc0caa582fc563ec503e5444c,×,√,×,×,×
c91859ed22e4dda11d36,×,×,×,×,×
c1adfdb0f526465c99409cc143dea97b,√,√,×,√,√
9089444,√,×,×,√,×
c18130768ac0ef0345947c5aa0827b65,×,×,×,×,×
3181989,×,×,×,×,×
4761479,×,×,×,×,×
bba5c2ba3000010ca049d6f96f5d2f27,×,×,×,×,×
2172888,√,√,×,√,√
afb129122a64bde3bd0c,×,√,×,×,×
7535869,√,√,√,√,√
35723b58d238a67234d8,√,×,√,√,√
8477219,√,√,×,√,√
e93532d5e7ddf0ec56c336499165c4dc,√,×,×,√,√
2301119,√,√,×,√,√
d4ffebb452fe738b8aaa8005fc08a068,√,×,×,√,√
868b1057d9c0b72a57b809a67ad6e4cc,×,×,×,×,×
1e7e3c1da32d00f8ce0dff6b86fd45fe,√,×,×,√,√
1ad56b7720af8d706e7f22cbcb8c6d70,×,×,×,×,×
a90c6f22372de8859f14,×,×,×,×,×
9709984,√,√,×,√,√
5882365,√,×,×,√,√
98bb452dc14e8c40e403,×,×,×,×,×
056626de3fbdc7cf7b59de1d9f6279d1,×,×,×,×,×
cb5a28fa8d4db3fc1ba51894663c1aed,√,×,×,√,√
015e2ce27cecdea63564,√,√,√,×,√
4245408,×,√,√,×,×
6156601,√,√,×,√,√
9ed6ee8a55ff1587c08c793d5f23dfda,×,×,×,×,×
30a5138e41cba69dc81c,√,√,√,√,√
9b7787a607a5a676c6d8,√,√,×,√,√
6987693,√,×,×,√,√
2371c78fc0a5c8935a7a,√,×,×,√,×
736778,√,√,√,√,√
3b1159baecb809b5fcb3a6154bc3cb0b,√,×,√,√,√
1186126,×,×,×,×,×
ec3adc02d927375f13d0,×,×,×,×,×
50abbd0ad3c16c5dee55,×,×,×,×,×
8149412,×,√,×,×,×
1289286,√,×,×,√,√
320a949b092bf30913ef,×,×,×,×,×
1054969,×,×,×,×,×
f3538c32965575e59bcd,×,√,√,×,×
1337131,×,×,×,×,×
1306719,√,×,×,√,√
9396204419c7b638d38f,√,√,×,√,√
6230787,√,√,×,√,×
b2af7d980eb217a0af07,×,×,×,×,×
2830057,√,√,×,√,√
317164,√,×,√,√,√
6069808,√,×,√,√,√
246727,√,×,×,√,√
2836237,×,√,×,×,√
7812916,×,×,×,×,×
f3f67424adda343fef40,×,×,×,×,×
10023837,×,×,×,×,×
4490410,√,√,×,√,√
8172807,×,×,×,×,×
5716253,√,√,×,√,√
5984815,√,×,×,×,√
071932322204bcad6063,×,√,√,×,×
6673250,√,√,×,×,×
6095e3cce3877881393a19659430ddf0,√,×,×,√,√
2ec85f1f8fe0d4f44b6f,×,×,×,×,×
2428250,√,×,×,√,√
215101,√,√,√,×,√
a003ace716c278ab87669f2fbd37727b,×,×,×,×,×
fe8e267149862eb67127f4fff7e017be,×,×,×,×,×
507bcbf3e8cfdc5d3549,×,×,×,×,×
ab2e34dc58c8c2d0f2e15f25b528dc19,×,√,√,×,×
163f5fdf47ab45d7addd,√,×,×,×,√
0830affa1f7f19fd47b06d4cf89ed44d,×,×,×,×,×
3791168,×,×,×,×,×
a06477775f18c11b4517,√,×,×,√,√
2de48835250e5fceaa1b626099abfa53,√,×,√,√,√
6201049,×,×,×,×,×
8684968ebacb5522c86a,√,√,√,√,√
72e709ba8a3a7c6affa1,√,×,×,√,√
8601bfad4ad512ff9d6d46d1ba0fbcca,×,×,×,×,×
3d7e2b077ba5af48ab1ba96678733e6f,×,×,×,×,×
2894704,√,×,×,×,√
5289693,×,×,×,×,×
f97205b73610dd30254652e7817f99cb,√,×,×,×,√
5803923,×,×,×,×,×
130cd92dc47c56c47030,√,√,×,√,√
5722696,√,×,√,√,√
2957026,×,×,×,×,×
742160,√,√,×,√,√
1818351,√,√,×,√,√
8219574,×,×,×,×,×
c344f114e1579a29e163,√,×,×,√,√
1757c55017ef2bfcc070909bdf0e6547,√,√,×,√,√
1202066,√,√,×,√,√
8464000,×,×,×,×,×
075c35b536cc08b832e353f2f43c0bdc,√,×,×,√,√
1b94c541ffc158d3e668810b75d69405,√,×,√,√,√
313761,√,×,×,√,√
1192059,√,√,√,√,√
290224,√,√,×,√,√
9952389,×,×,×,×,×
5808d73731b50f8abbdcb3c3c5c1e6fa,√,√,×,√,√
6033364,√,√,×,√,√
5807746,×,×,×,×,×
6532185,×,×,×,×,×
8383050,×,×,×,×,×
5264046,√,√,√,√,√
7434f7431d1cc0350dbe,√,×,×,√,√
1104553,×,×,×,×,×
3359203,×,×,×,×,×
ca92b42f1f796763e5d1f8cd73247a30,×,×,×,×,×
b72585771a9f606ad800,×,×,×,×,×
1417f55cb896a44e68a6,×,×,×,×,×
60e006b7642707c2e898,×,×,×,×,×
113635,√,√,×,√,√
36c31a9b653779b2b7d1,√,√,×,√,√
5520379,√,√,×,√,√
0f5f65ddbfa278713f58,×,×,×,×,×
1433392,√,√,√,√,√
6099960,×,×,×,×,×
326462,√,√,×,√,√
aad88d51001ea83ecfc6,√,×,×,√,√
caeb0a6dc89d9e7ec48d,×,×,×,×,×
5544803,√,√,×,√,×
5a5c3a6ad327f303cb915198aec8a90d,×,×,×,×,×
8d1a9b14d4e9a9080ab4752608c2de61,√,√,√,√,√
8663d3bbfd586bffecf6a0094cd116f2,×,√,×,×,×
0a3d4fae965bdbec1f9d,×,×,×,×,×
817a70706587da3bd862835c59ef584e,×,×,×,×,×
a67517621c2a9d4c2f14,×,×,×,×,×
5182379,√,×,√,√,√
cf2b4e56fe28835c3ceb,√,×,×,√,√
4427984,√,√,×,√,√
4058325,×,×,×,×,×
1688557,√,√,×,√,√
fa0647722365f5a4b2ad,×,×,×,×,×
137653,×,×,×,×,×
f676b9bd2e6930dda95c,×,×,×,×,×
304a77371c9e207a5fa42a6b874017d5,√,×,×,√,√
4632416,×,×,×,×,×
910392,×,√,×,×,×
4e24eb196dc377278fc51e517d81df63,×,×,×,×,×
4565147,√,√,×,√,√
6bb9ddb5d904b7275c62,√,×,√,√,√
6087798,×,×,×,×,×
4023068,×,×,×,×,×
58673e7bda3767bf82b1,×,×,×,×,×
dd1538665994b48972a62966b4369354,×,×,×,×,×
00e9638c0efad1adac878522cf172484,√,×,×,×,×
2998372,×,×,×,×,×
70df4922fec74ea87405b83840b45d57,√,×,×,×,√
